hora_autorizacao,carrier_vtex,categoria produto,region,distancia,uf,dia da semana,cd_origem,City,categoria_distancia,dias_entrega2,prediction_label,prediction_dias_entrega,diff_day_auth_to_estimated2,baseline_otif,gap_baseline,OTIF_Previsto,gap_predict,dias_transportadora,prediction_dias_transportadora,gap_predict_transportadora
16.0,Azul,lavadora,Norte,2.7122942e+16,PA,4.0,tatuquara,belem,muitodistante,6,5.902455533751878,6.0,11,1,5,1,0.0,4.0,4.0,0.0
18.0,Azul,panela,Norte,2772596800000000.0,AM,4.0,tatuquara,manaus,muitodistante,6,5.966732491528166,6.0,10,1,4,1,0.0,4.0,4.0,0.0
19.0,Azul,kit,Norte,288264900000000.0,AP,4.0,tatuquara,macapa,muitodistante,7,6.21270401073205,6.0,12,1,5,0,-1.0,5.0,5.0,0.0
11.0,Azul,kit,Norte,2730057300000000.0,PA,5.0,tatuquara,juruti,muitodistante,6,6.328692608522996,6.0,19,1,13,1,0.0,5.0,5.0,0.0
12.0,Azul,purificador,Norte,2772596800000000.0,AM,5.0,tatuquara,manaus,muitodistante,5,5.208355610915845,5.0,9,1,4,1,0.0,4.0,4.0,0.0
13.0,Azul,aspirador,Norte,2772596800000000.0,AM,5.0,tatuquara,manaus,muitodistante,8,5.949464557016171,6.0,9,1,1,0,-2.0,7.0,4.0,-3.0
6.0,Azul,filtro/refil,Norte,288264900000000.0,AP,6.0,tatuquara,macapa,muitodistante,5,5.537274950779152,6.0,10,1,5,1,1.0,5.0,5.0,0.0
18.0,TSV,aspirador,Norte,2444924600000000.0,RO,6.0,tatuquara,portovelho,muitodistante,14,13.903507196170228,14.0,21,1,7,1,0.0,14.0,13.0,-1.0
21.0,Bertolini,lava-loucas,Norte,2.7122942e+16,PA,4.0,tatuquara,belem,muitodistante,13,13.951889213301573,14.0,19,1,6,1,1.0,11.0,12.0,1.0
22.0,Bertolini,panela,Norte,2373333700000000.0,RO,4.0,tatuquara,guajara-mirim,muitodistante,11,15.667458237462098,16.0,24,1,13,1,5.0,9.0,13.0,4.0
9.0,Bertolini,depurador,Norte,2.7228836e+16,PA,5.0,tatuquara,ananindeua,muitodistante,15,13.168817557019539,13.0,18,1,3,0,-2.0,14.0,12.0,-2.0
